TRANSACTION_DATE,AGENCY_NAME,MERCHANT_NAME,TRANSACTION_AMOUNT,Month,DayOfWeek,AGENCY_CODE,MERCHANT_CODE,Anomaly
2013-07-22,OKLAHOMA STATE UNIVERSITY,WWW.NEWEGG.COM,4545.61,7,0,84,86335,-1
2013-07-22,OKLAHOMA STATE UNIVERSITY,BELGER CARTAGE SERVICE,3318.0,7,0,84,21551,-1
2013-07-21,OKLAHOMA STATE UNIVERSITY,STRATEGIC SYSTEMS & TE,2899.0,7,6,84,76526,-1
2013-05-16,OKLAHOMA STATE UNIVERSITY,BETHESDA COURT HOTEL,15120.0,5,3,84,21777,-1
2013-07-22,OKLAHOMA STATE UNIVERSITY,ALL AMERICAN MEDICAL,4320.56,7,0,84,7754,-1
2013-07-23,OKLAHOMA STATE UNIVERSITY,MF ATHLETIC & PERFORM BE,4365.65,7,1,84,55269,-1
2013-07-24,OKLAHOMA STATE UNIVERSITY,HOOVER FENCE CO.,4896.48,7,2,84,43880,-1
2013-07-19,OKLAHOMA STATE UNIVERSITY,WEATHERFORD INTERNATIONA,4257.04,7,4,84,85377,-1
2013-07-20,OKLAHOMA STATE UNIVERSITY,WWW.MAKERBOT.COM,2939.41,7,5,84,86326,-1
2013-08-26,OKLAHOMA STATE UNIVERSITY,ALLEGRA PRINT & IMAGING,2444.2,8,0,84,7815,-1
2013-08-26,OKLAHOMA STATE UNIVERSITY,CHRIS' UNIVERSITY SPIR,4246.62,8,0,84,24377,-1
2013-08-25,OKLAHOMA STATE UNIVERSITY,RENEW CARPET CLEANING,2335.65,8,6,84,66577,-1
2013-08-23,OKLAHOMA STATE UNIVERSITY,ALLEGRA PRINT & IMAGING,2991.05,8,4,84,7815,-1
2013-08-23,OKLAHOMA STATE UNIVERSITY,ALEXANDER STREET PR,2500.0,8,4,84,7719,-1
2013-08-28,OKLAHOMA STATE UNIVERSITY,PRINTING SERVICES,4905.0,8,2,84,65439,-1
2013-08-23,OKLAHOMA STATE UNIVERSITY,"CURRENT CONCEPTIONS, INC",4875.0,8,4,84,25991,-1
2013-08-28,OKLAHOMA STATE UNIVERSITY,AMERICAN PLNT PROD SRV,4774.5,8,2,84,19480,-1
2013-08-26,OKLAHOMA STATE UNIVERSITY,SHAKE RATTLE AND ROLL,4974.0,8,0,84,68111,-1
2013-08-25,OKLAHOMA STATE UNIVERSITY,HAMPTON INNS,3118.5,8,6,84,42863,-1
2013-08-26,OKLAHOMA STATE UNIVERSITY,COLLEGIATE DIRECTORIES IN,3906.5,8,0,84,24970,-1
2013-08-19,OKLAHOMA STATE UNIVERSITY,SKC COMMUNICATION PRODUCT,4858.96,8,0,84,68594,-1
2013-08-15,OKLAHOMA STATE UNIVERSITY,DRILLCOMP,4572.59,8,3,84,30325,-1
2013-08-12,OKLAHOMA STATE UNIVERSITY,WESTERN PRINTING CO.,3290.0,8,0,84,85572,-1
2013-08-12,OKLAHOMA STATE UNIVERSITY,THOMAS PLUMBING &HEATING,3977.0,8,0,84,78560,-1
2013-08-14,OKLAHOMA STATE UNIVERSITY,"CUSTOM TRAILER SALES, INC",4990.0,8,2,84,26022,-1
2013-08-12,OKLAHOMA STATE UNIVERSITY,HERITAGE,4998.0,8,0,84,43239,-1
2013-08-12,OKLAHOMA STATE UNIVERSITY,BEST BUY      00025031,3646.8,8,0,84,21650,-1
2013-08-12,OKLAHOMA STATE UNIVERSITY,CREEKSTONE FARMS PREMIUM,4368.84,8,0,84,25767,-1
2013-08-12,OKLAHOMA STATE UNIVERSITY,BALTIC LINEN COMP,4783.93,8,0,84,21276,-1
2013-08-08,OKLAHOMA STATE UNIVERSITY,AGILENTTECHNOLOGIES,4379.2,8,3,84,7377,-1
2013-08-14,OKLAHOMA STATE UNIVERSITY,PLATINUM MECHANICAL,12413.99,8,2,84,64993,-1
2013-08-12,OKLAHOMA STATE UNIVERSITY,COLOR REFLECTIONS OF FT,4563.0,8,0,84,24982,-1
2013-08-10,OKLAHOMA STATE UNIVERSITY,BIO RAD  VIPETERSON8/9/,4318.0,8,5,84,22039,-1
2013-08-14,OKLAHOMA STATE UNIVERSITY,"DIGITAL DATA SERVICES, IN",4899.0,8,2,84,29639,-1
2013-08-13,OKLAHOMA STATE UNIVERSITY,HINTON REFRIGERATION C,4972.09,8,1,84,43487,-1
2013-08-15,OKLAHOMA STATE UNIVERSITY,FEDEXOFFICE   00001248,4839.9,8,3,84,40465,-1
2013-08-10,OKLAHOMA STATE UNIVERSITY,DRIPLOC LLC,3450.0,8,5,84,30327,-1
2013-08-13,OKLAHOMA STATE UNIVERSITY,WEBER REFRIGERATION,4045.0,8,1,84,85394,-1
2013-08-09,OKLAHOMA STATE UNIVERSITY,MULTIVIEW INC,5000.0,8,4,84,55961,-1
2013-08-09,OKLAHOMA STATE UNIVERSITY,CDW GOVERNMENT,3744.15,8,4,84,23752,-1
2013-08-14,OKLAHOMA STATE UNIVERSITY,"ISIS COMPUTER SUPPLY, INC",4818.0,8,2,84,46134,-1
2013-07-31,OKLAHOMA STATE UNIVERSITY,3MAriza I2374714 s1175,2700.0,7,2,84,130,-1
2013-07-31,OKLAHOMA STATE UNIVERSITY,PLATINUM MECHANICAL,5993.1,7,2,84,64993,-1
2013-08-05,OKLAHOMA STATE UNIVERSITY,AEE PROGRAMS,3100.0,8,0,84,1185,-1
2013-08-06,OKLAHOMA STATE UNIVERSITY,1800ENDOSCOPE.COM,2499.0,8,1,84,55,-1
2013-08-01,OKLAHOMA STATE UNIVERSITY,Amazon Payments,4500.0,8,3,84,21103,-1
2013-08-02,OKLAHOMA STATE UNIVERSITY,CAMPBELL SCIENTIFIC INC,3861.73,8,4,84,23352,-1
2013-08-06,OKLAHOMA STATE UNIVERSITY,CDW GOVERNMENT,4953.68,8,1,84,23752,-1
2013-08-02,OKLAHOMA STATE UNIVERSITY,YAMAHA OF STILLWATER,4999.0,8,4,84,86486,-1
2013-08-02,OKLAHOMA STATE UNIVERSITY,YAMAHA OF STILLWATER,4999.0,8,4,84,86486,-1
2013-08-02,OKLAHOMA STATE UNIVERSITY,BECK'S FARM EQUIPMENT,3500.0,8,4,84,21515,-1
2013-08-05,OKLAHOMA STATE UNIVERSITY,ARKANSAS ELECTRIC COOPERA,3414.0,8,0,84,20154,-1
2013-08-06,OKLAHOMA STATE UNIVERSITY,B & H PHOTO-VIDEO.COM,3496.42,8,1,84,21143,-1
2013-08-06,OKLAHOMA STATE UNIVERSITY,AWL PEARSON EDUCATION,4263.04,8,1,84,21065,-1
2013-08-05,OKLAHOMA STATE UNIVERSITY,HELENA CHEM CO    24122,4517.5,8,0,84,43182,-1
2013-08-02,OKLAHOMA STATE UNIVERSITY,BURK OIL CO INC,4366.25,8,4,84,22996,-1
2013-08-07,OKLAHOMA STATE UNIVERSITY,ABSA,2365.0,8,2,84,683,-1
2013-08-20,OKLAHOMA STATE UNIVERSITY,B & H PHOTO-VIDEO.COM,3525.78,8,1,84,21143,-1
2013-08-20,OKLAHOMA STATE UNIVERSITY,UNIVERSITY PROFESSIONAL &,4200.0,8,1,84,83087,-1
2013-08-15,OKLAHOMA STATE UNIVERSITY,BERTREM PRODUCTS,4850.0,8,3,84,21626,-1
2013-08-22,OKLAHOMA STATE UNIVERSITY,XPEDX-INTL PAPER,4939.5,8,3,84,86466,-1
2013-08-21,OKLAHOMA STATE UNIVERSITY,A&D Supply LLC,2380.8,8,2,84,461,-1
2013-08-18,OKLAHOMA STATE UNIVERSITY,GAME TRUCK DALLAS,2450.0,8,6,84,41640,-1
2013-08-19,OKLAHOMA STATE UNIVERSITY,"ENDRESS+HAUSER, INC",3752.28,8,0,84,31375,-1
2013-08-19,OKLAHOMA STATE UNIVERSITY,ALLEN DISPLAY,2163.3,8,0,84,7819,-1
2013-08-18,OKLAHOMA STATE UNIVERSITY,VWR INTERNATIONAL INC,-1084.08,8,6,84,84885,-1
2013-08-17,OKLAHOMA STATE UNIVERSITY,GETTY IMAGES,5000.0,8,5,84,41897,-1
2013-08-17,OKLAHOMA STATE UNIVERSITY,ENVIROMED SERVICES,3740.0,8,5,84,31435,-1
2013-08-19,OKLAHOMA STATE UNIVERSITY,GILMAN GEAR,3671.39,8,0,84,41948,-1
2013-08-20,OKLAHOMA STATE UNIVERSITY,CAROLINA BIOLOGICAL SPLY,4207.55,8,1,84,23532,-1
2013-09-24,OKLAHOMA STATE UNIVERSITY,KROHNE,4756.72,9,1,84,52544,-1
2013-09-27,OKLAHOMA STATE UNIVERSITY,LOCKE SUPPLY OKMULGEE,4939.74,9,4,84,53724,-1
2013-09-25,OKLAHOMA STATE UNIVERSITY,A&B HOME GROUP,2375.56,9,2,84,459,-1
2013-09-25,OKLAHOMA STATE UNIVERSITY,CLEARVIEW PRINTING COMPAN,4507.3,9,2,84,24750,-1
2013-09-28,OKLAHOMA STATE UNIVERSITY,CADENCE DESIGN SYSTEMS,4500.0,9,5,84,23240,-1
2013-09-27,OKLAHOMA STATE UNIVERSITY,INSIDE HIGHER ED,4500.0,9,4,84,44955,-1
2013-09-27,OKLAHOMA STATE UNIVERSITY,ACEND,1650.0,9,4,84,811,-1
2013-09-27,OKLAHOMA STATE UNIVERSITY,ACT PROGRAMS,1824.0,9,4,84,939,-1
2013-09-26,OKLAHOMA STATE UNIVERSITY,CLEATECH LLC,4923.0,9,3,84,24753,-1
2013-09-28,OKLAHOMA STATE UNIVERSITY,XPEDX-INTL PAPER,4450.0,9,5,84,86466,-1
2013-09-22,OKLAHOMA STATE UNIVERSITY,HOLIDAY INN EXPRESS,2695.0,9,6,84,43659,-1
2013-09-23,OKLAHOMA STATE UNIVERSITY,ACCURATE ENVIROMENTAL LAB,1600.0,9,0,84,771,-1
2013-09-23,OKLAHOMA STATE UNIVERSITY,ACS ADVERTISING SALES,1385.0,9,0,84,870,-1
2013-09-23,OKLAHOMA STATE UNIVERSITY,WESTERN PRINTING CO.,3240.0,9,0,84,85572,-1
2013-09-27,OKLAHOMA STATE UNIVERSITY,AMAZON MKTPLACE PMTS,2196.0,9,4,84,7994,-1
2013-09-08,OKLAHOMA STATE UNIVERSITY,SOUTHERN ATHLETIC FIELDS,2388.95,9,6,84,68993,-1
2013-09-09,OKLAHOMA STATE UNIVERSITY,AUDIO MIDWEST STILLWATER,3404.24,9,0,84,20828,-1
2013-09-10,OKLAHOMA STATE UNIVERSITY,FISHER SCI HUS,4927.81,9,1,84,40704,-1
2013-09-09,OKLAHOMA STATE UNIVERSITY,NATURALFLTR,4843.0,9,0,84,56568,-1
2013-09-09,OKLAHOMA STATE UNIVERSITY,AMERCOLLHLTHASSOC,2150.0,9,0,84,8056,-1
2013-09-09,OKLAHOMA STATE UNIVERSITY,DEEP FORK TREE FARM LLC,4875.0,9,0,84,26565,-1
2013-09-16,OKLAHOMA STATE UNIVERSITY,EL TAPATIO GRILL & MEXICA,3500.0,9,0,84,31115,-1
2013-09-13,OKLAHOMA STATE UNIVERSITY,B&C BUSINESS PRODUCTS,4950.0,9,4,84,21174,-1
2013-09-11,OKLAHOMA STATE UNIVERSITY,ARTICULATE GLOBAL INC,4788.0,9,2,84,20231,-1
2013-09-11,OKLAHOMA STATE UNIVERSITY,HAMPTON INNS,8815.0,9,2,84,42863,-1
2013-09-15,OKLAHOMA STATE UNIVERSITY,BEST BUY      00025031,1799.91,9,6,84,21650,-1
2013-09-11,OKLAHOMA STATE UNIVERSITY,HOOVER FENCE CO.,4847.04,9,2,84,43880,-1
2013-09-16,OKLAHOMA STATE UNIVERSITY,EEI,3695.0,9,0,84,30810,-1
2013-09-16,OKLAHOMA STATE UNIVERSITY,ALTERNATIVE MAILING&S,2549.85,9,0,84,7933,-1
2013-09-10,OKLAHOMA STATE UNIVERSITY,TURN OF THE CENTURY ENTER,4740.0,9,1,84,79432,-1
2013-09-11,OKLAHOMA STATE UNIVERSITY,MAGDALENE COLLEGE,27967.38,9,2,84,54206,-1
2013-09-11,OKLAHOMA STATE UNIVERSITY,AUTOMATED BUILDNG SYSTEMS,4672.2,9,2,84,20899,-1
2013-09-11,OKLAHOMA STATE UNIVERSITY,AUTOMATED BUILDNG SYSTEMS,4672.2,9,2,84,20899,-1
2013-09-13,OKLAHOMA STATE UNIVERSITY,AMAZON MKTPLACE PMTS,2234.13,9,4,84,7994,-1
2013-09-09,OKLAHOMA STATE UNIVERSITY,TITANUSCOMP,3422.94,9,0,84,78676,-1
2013-09-05,OKLAHOMA STATE UNIVERSITY,ALLEGRA PRINT & IMAGING,2497.29,9,3,84,7815,-1
2013-09-08,OKLAHOMA STATE UNIVERSITY,TFS THERMOASHEVILLE,1913.0,9,6,84,77823,-1
2013-09-08,OKLAHOMA STATE UNIVERSITY,AMAZON MKTPLACE PMTS,478.89,9,6,84,7994,-1
2013-09-05,OKLAHOMA STATE UNIVERSITY,TEXOMA ROOFING,4978.0,9,3,84,77776,-1
2013-09-05,OKLAHOMA STATE UNIVERSITY,FEDERAL COPRORATION,4411.04,9,3,84,32344,-1
2013-08-31,OKLAHOMA STATE UNIVERSITY,AIRGAS CENTRAL,3493.31,8,5,84,7535,-1
2013-08-30,OKLAHOMA STATE UNIVERSITY,PEGASUS GLASS,5000.0,8,4,84,64439,-1
2013-09-05,OKLAHOMA STATE UNIVERSITY,ALLEGRA PRINT & IMAGING,2472.92,9,3,84,7815,-1
2013-09-02,OKLAHOMA STATE UNIVERSITY,SCHUEBELER JETS,3705.34,9,0,84,67566,-1
2013-08-29,OKLAHOMA STATE UNIVERSITY,"CUSTOM COMPUTER SERVICES,",4485.0,8,3,84,26010,-1
2013-09-06,OKLAHOMA STATE UNIVERSITY,WWW.NEWEGG.COM,4099.98,9,4,84,86335,-1
2013-08-30,OKLAHOMA STATE UNIVERSITY,NATIONAL INSTRUMENTS CORP,5000.0,8,4,84,56432,-1
2013-08-31,OKLAHOMA STATE UNIVERSITY,DATAQINSTRUMENTS,3538.74,8,5,84,26347,-1
2013-09-22,OKLAHOMA STATE UNIVERSITY,WATER QUALTIY CONTROL IN,1825.0,9,6,84,85301,-1
2013-09-21,OKLAHOMA STATE UNIVERSITY,SPRINGHILL SUITES HOUSTRP,4080.96,9,5,84,73229,-1
2013-09-23,OKLAHOMA STATE UNIVERSITY,STILLWATER BUILDING CENTE,4484.59,9,0,84,76441,-1
2013-09-23,OKLAHOMA STATE UNIVERSITY,"COACHCOMM, LLC",4495.0,9,0,84,24858,-1
2013-09-23,OKLAHOMA STATE UNIVERSITY,ASTRO TRAVEL & TOURS INC,4400.0,9,0,84,20438,-1
2013-09-17,OKLAHOMA STATE UNIVERSITY,MILJOCO CORPORATION,4950.0,9,1,84,55513,-1
2013-09-17,OKLAHOMA STATE UNIVERSITY,DEARINGER PRINTING & TROP,4990.0,9,1,84,26543,-1
2013-09-23,OKLAHOMA STATE UNIVERSITY,ADM ALLIANCE NUTRITION,1527.8,9,0,84,1067,-1
2013-09-23,OKLAHOMA STATE UNIVERSITY,DUPREES SPORTS EQUIPMENT,3390.0,9,0,84,30432,-1
2013-09-21,OKLAHOMA STATE UNIVERSITY,INVITROGEN 23623058,3208.5,9,5,84,45666,-1
2013-09-18,OKLAHOMA STATE UNIVERSITY,GOBOB PIPE AND STEEL S,4957.32,9,2,84,42081,-1
2013-09-16,OKLAHOMA STATE UNIVERSITY,HUBCO INC,4986.54,9,0,84,44052,-1
2013-09-17,OKLAHOMA STATE UNIVERSITY,XPEDX-INTL PAPER,4650.25,9,1,84,86466,-1
2013-09-16,OKLAHOMA STATE UNIVERSITY,HANS JOHNSEN COMPANY,4338.5,9,0,84,42914,-1
2013-09-16,OKLAHOMA STATE UNIVERSITY,AEE PROGRAMS,1795.0,9,0,84,1185,-1
2013-09-16,OKLAHOMA STATE UNIVERSITY,WOODCRAFT 548,3465.83,9,0,84,86066,-1
2013-09-18,OKLAHOMA STATE UNIVERSITY,OFFICE FURNITURE USA,4929.0,9,2,84,57333,-1
2013-09-17,OKLAHOMA STATE UNIVERSITY,SQ  GUYMON OVERHEAD DOOR,4880.0,9,1,84,73475,-1
2013-09-16,OKLAHOMA STATE UNIVERSITY,EPPENDORF NORTH AMERIC,3368.26,9,0,84,31467,-1
2013-09-16,OKLAHOMA STATE UNIVERSITY,THE IMPRINT SOURCE LLC,3984.93,9,0,84,78135,-1
2013-09-19,OKLAHOMA STATE UNIVERSITY,VWR INTERNATIONAL INC,4985.36,9,3,84,84885,-1
2013-09-16,OKLAHOMA STATE UNIVERSITY,FARMER'S COOP ASSOCIATION,3708.64,9,0,84,32240,-1
2013-09-19,OKLAHOMA STATE UNIVERSITY,ACUNETIX LTD,3195.0,9,3,84,1010,-1
2013-09-19,OKLAHOMA STATE UNIVERSITY,AGILENTTECHNOLOGIES,3525.0,9,3,84,7377,-1
2013-10-16,OKLAHOMA STATE UNIVERSITY,D&B REPORTS/HOOVERS,4999.0,10,2,84,26220,-1
2013-10-22,OKLAHOMA STATE UNIVERSITY,DEARINGER PRINTING & TROP,4452.61,10,1,84,26543,-1
2013-10-21,OKLAHOMA STATE UNIVERSITY,SIMPLEX GRINNELL WEB P,3731.56,10,0,84,68548,-1
2013-10-18,OKLAHOMA STATE UNIVERSITY,4IMPRINT,3827.19,10,4,84,310,-1
2013-10-15,OKLAHOMA STATE UNIVERSITY,WESTERN PRINTING CO.,4060.0,10,1,84,85572,-1
2013-10-21,OKLAHOMA STATE UNIVERSITY,RIDDELL ALL AMERICAN,4613.56,10,0,84,66789,-1
2013-10-21,OKLAHOMA STATE UNIVERSITY,ALLEGRA PRINT AND IMAGING,1636.2,10,0,84,7816,-1
2013-10-18,OKLAHOMA STATE UNIVERSITY,XPEDX-INTL PAPER,4717.0,10,4,84,86466,-1
2013-10-21,OKLAHOMA STATE UNIVERSITY,SQ  COX CUSTOM CREATIONS,4800.0,10,0,84,73394,-1
2013-10-22,OKLAHOMA STATE UNIVERSITY,182 BUILD-TULSA-BROKEN,1981.0,10,1,84,61,-1
2013-10-22,OKLAHOMA STATE UNIVERSITY,SHAKE RATTLE AND ROLL,4899.0,10,1,84,68111,-1
2013-10-22,OKLAHOMA STATE UNIVERSITY,ACEWARE SYSTEMS INC.,4019.25,10,1,84,817,-1
2013-10-19,OKLAHOMA STATE UNIVERSITY,FLASHBAYCOM,3915.0,10,5,84,40775,-1
2013-10-16,OKLAHOMA STATE UNIVERSITY,ADVANCED TELEMETRY SYSTEM,2215.0,10,2,84,1132,-1
2013-09-30,OKLAHOMA STATE UNIVERSITY,FAST MODEL,4995.0,9,0,84,32279,-1
2013-10-02,OKLAHOMA STATE UNIVERSITY,YAMAHA OF STILLWATER,4326.0,10,2,84,86486,-1
2013-10-07,OKLAHOMA STATE UNIVERSITY,ILLUMINA INC.,4992.0,10,0,84,44522,-1
2013-10-02,OKLAHOMA STATE UNIVERSITY,CHRIS' UNIVERSITY SPIR,4866.0,10,2,84,24377,-1
2013-10-07,OKLAHOMA STATE UNIVERSITY,WW GRAINGER,3767.4,10,0,84,86235,-1
2013-10-07,OKLAHOMA STATE UNIVERSITY,CINDY  COOPER CATERING,2925.0,10,0,84,24441,-1
2013-10-01,OKLAHOMA STATE UNIVERSITY,INVITROGEN 23661484,4869.5,10,1,84,45688,-1
2013-10-01,OKLAHOMA STATE UNIVERSITY,HQ INC,4670.0,10,1,84,44028,-1
2013-10-04,OKLAHOMA STATE UNIVERSITY,JAILHOUSE FEED  FARM,4448.43,10,4,84,46322,-1
2013-10-04,OKLAHOMA STATE UNIVERSITY,S&P CAPIQ/INDICES/,4200.0,10,4,84,67199,-1
2013-10-04,OKLAHOMA STATE UNIVERSITY,DEES COMMUNICATIONS INC,3777.66,10,4,84,26570,-1
2013-09-30,OKLAHOMA STATE UNIVERSITY,HOLIDAY INN,4403.0,9,0,84,43613,-1
2013-10-07,OKLAHOMA STATE UNIVERSITY,ACT RSA CONFERNECE NTH DE,1595.0,10,0,84,943,-1
2013-10-07,OKLAHOMA STATE UNIVERSITY,ALLEGRA PRINT & IMAGING,1919.0,10,0,84,7815,-1
2013-10-01,OKLAHOMA STATE UNIVERSITY,STILLWATER SCREENPRINTING,4624.2,10,1,84,76467,-1
2013-10-01,OKLAHOMA STATE UNIVERSITY,SPIRIT PRODUCTS,4466.0,10,1,84,73134,-1
2013-10-01,OKLAHOMA STATE UNIVERSITY,TOMCO-HARWEL INDUSTRIES,4449.5,10,1,84,78824,-1
2013-09-30,OKLAHOMA STATE UNIVERSITY,ALLEGRA PRINT & IMAGING,1967.3,9,0,84,7815,-1
2013-09-30,OKLAHOMA STATE UNIVERSITY,JOHNSON CONTROLS SS,3776.3,9,0,84,46716,-1
2013-09-30,OKLAHOMA STATE UNIVERSITY,THE RESTORATION STATION,4000.0,9,0,84,78328,-1
2013-10-14,OKLAHOMA STATE UNIVERSITY,AMUNDSEN FOOD EQUIPMENT,3175.0,10,0,84,19672,-1
2013-10-14,OKLAHOMA STATE UNIVERSITY,Amazon Payments,3135.0,10,0,84,21103,-1
2013-10-14,OKLAHOMA STATE UNIVERSITY,AAPG HEADQUARTERS,1326.0,10,0,84,587,-1
2013-10-14,OKLAHOMA STATE UNIVERSITY,QUANTACHROME INSTRUMENTS,4939.05,10,0,84,65958,-1
2013-10-14,OKLAHOMA STATE UNIVERSITY,AMAZON MKTPLACE PMTS,1747.98,10,0,84,7994,-1
2013-10-11,OKLAHOMA STATE UNIVERSITY,AMAZON MKTPLACE PMTS,2394.45,10,4,84,7994,-1
2013-10-15,OKLAHOMA STATE UNIVERSITY,FREDDIE PAULS STEAKHOUSE,4482.0,10,1,84,41069,-1
2013-10-15,OKLAHOMA STATE UNIVERSITY,FARMER'S COOP ASSOCIATION,5000.0,10,1,84,32240,-1
2013-10-10,OKLAHOMA STATE UNIVERSITY,SOUTHWEST DIST. CO. INC,4900.0,10,3,84,72953,-1
2013-10-14,OKLAHOMA STATE UNIVERSITY,A+ BIOMEDICAL SERVICES,4235.0,10,0,84,472,-1
2013-10-09,OKLAHOMA STATE UNIVERSITY,CENTRAL LAWN AND LANDSCAP,4950.0,10,2,84,23837,-1
2013-10-11,OKLAHOMA STATE UNIVERSITY,IRON SPEED INC,4390.0,10,4,84,46105,-1
2013-10-13,OKLAHOMA STATE UNIVERSITY,AAF AAF INTERNATIONAL,37.44,10,6,84,553,-1
2013-10-15,OKLAHOMA STATE UNIVERSITY,EXCHNG VISITOR PROG,3982.0,10,1,84,31697,-1
2013-10-13,OKLAHOMA STATE UNIVERSITY,FISHER SCI CHI,1843.39,10,6,84,40699,-1
2013-10-11,OKLAHOMA STATE UNIVERSITY,ARAMARK 02 UF GATOR DININ,4850.56,10,4,84,20035,-1
2013-10-08,OKLAHOMA STATE UNIVERSITY,MAVERICK JACKETS INC,4806.75,10,1,84,54646,-1
2013-10-09,OKLAHOMA STATE UNIVERSITY,ACCLINET CORPORATION,2617.0,10,2,84,754,-1
